origin,destination,count
Beaver,Beaver,0
Beaver,Box Elder,8900
Beaver,Cache,2800
Beaver,Carbon,200
Beaver,Daggett,0
Beaver,Davis,13700
Beaver,Duchesne,300
Beaver,Emery,9100
Beaver,Garfield,4800
Beaver,Grand,1600
Beaver,Iron,97700
Beaver,Juab,28500
Beaver,Kane,18900
Beaver,Millard,30300
Beaver,Morgan,300
Beaver,Piute,2600
Beaver,Rich,0
Beaver,Salt Lake,77300
Beaver,San Juan,100
Beaver,Sanpete,700
Beaver,Sevier,27800
Beaver,Summit,3700
Beaver,Tooele,7700
Beaver,Uintah,100
Beaver,Utah,42900
Beaver,Wasatch,1100
Beaver,Washington,66600
Beaver,Wayne,100
Beaver,Weber,6200
Box Elder,Beaver,9100
Box Elder,Box Elder,0
Box Elder,Cache,148500
Box Elder,Carbon,8000
Box Elder,Daggett,0
Box Elder,Davis,144100
Box Elder,Duchesne,1000
Box Elder,Emery,4700
Box Elder,Garfield,100
Box Elder,Grand,900
Box Elder,Iron,19700
Box Elder,Juab,18500
Box Elder,Kane,500
Box Elder,Millard,8300
Box Elder,Morgan,13600
Box Elder,Piute,0
Box Elder,Rich,1200
Box Elder,Salt Lake,300900
Box Elder,San Juan,1700
Box Elder,Sanpete,3200
Box Elder,Sevier,3100
Box Elder,Summit,21900
Box Elder,Tooele,19900
Box Elder,Uintah,700
Box Elder,Utah,74500
Box Elder,Wasatch,3800
Box Elder,Washington,14600
Box Elder,Wayne,0
Box Elder,Weber,234700
Cache,Beaver,3700
Cache,Box Elder,136200
Cache,Cache,0
Cache,Carbon,600
Cache,Daggett,0
Cache,Davis,62700
Cache,Duchesne,300
Cache,Emery,500
Cache,Garfield,0
Cache,Grand,100
Cache,Iron,2800
Cache,Juab,5900
Cache,Kane,300
Cache,Millard,2600
Cache,Morgan,4900
Cache,Piute,0
Cache,Rich,14100
Cache,Salt Lake,111100
Cache,San Juan,200
Cache,Sanpete,200
Cache,Sevier,200
Cache,Summit,5000
Cache,Tooele,4700
Cache,Uintah,200
Cache,Utah,18200
Cache,Wasatch,500
Cache,Washington,1500
Cache,Wayne,0
Cache,Weber,87200
Carbon,Beaver,200
Carbon,Box Elder,8500
Carbon,Cache,1000
Carbon,Carbon,0
Carbon,Daggett,100
Carbon,Davis,9100
Carbon,Duchesne,35800
Carbon,Emery,52200
Carbon,Garfield,0
Carbon,Grand,10000
Carbon,Iron,500
Carbon,Juab,1300
Carbon,Kane,0
Carbon,Millard,100
Carbon,Morgan,4300
Carbon,Piute,0
Carbon,Rich,0
Carbon,Salt Lake,41400
Carbon,San Juan,9900
Carbon,Sanpete,2500
Carbon,Sevier,10600
Carbon,Summit,600
Carbon,Tooele,2800
Carbon,Uintah,7800
Carbon,Utah,34900
Carbon,Wasatch,2500
Carbon,Washington,400
Carbon,Wayne,500
Carbon,Weber,5000
Daggett,Beaver,0
Daggett,Box Elder,100
Daggett,Cache,0
Daggett,Carbon,0
Daggett,Daggett,0
Daggett,Davis,200
Daggett,Duchesne,600
Daggett,Emery,100
Daggett,Garfield,0
Daggett,Grand,100
Daggett,Iron,0
Daggett,Juab,0
Daggett,Kane,0
Daggett,Millard,0
Daggett,Morgan,0
Daggett,Piute,0
Daggett,Rich,0
Daggett,Salt Lake,700
Daggett,San Juan,0
Daggett,Sanpete,0
Daggett,Sevier,0
Daggett,Summit,200
Daggett,Tooele,0
Daggett,Uintah,2800
Daggett,Utah,0
Daggett,Wasatch,100
Daggett,Washington,0
Daggett,Wayne,0
Daggett,Weber,200
Davis,Beaver,14200
Davis,Box Elder,152700
Davis,Cache,63500
Davis,Carbon,5500
Davis,Daggett,100
Davis,Davis,0
Davis,Duchesne,131800
Davis,Emery,5000
Davis,Garfield,300
Davis,Grand,1700
Davis,Iron,14400
Davis,Juab,26400
Davis,Kane,300
Davis,Millard,10500
Davis,Morgan,38900
Davis,Piute,100
Davis,Rich,800
Davis,Salt Lake,1704900
Davis,San Juan,2000
Davis,Sanpete,2900
Davis,Sevier,3500
Davis,Summit,47100
